pygame 2.4.0 (SDL 2.26.5, Python 3.11.4)
Hello from the pygame community. https://www.pygame.org/contribute.html
 0: interface :b'CoreMIDI':, name :b'Seaboard RISE 2':, opened :0:  (input)
 1: interface :b'CoreMIDI':, name :b'Seaboard RISE 2':, opened :0:  (output)
couldnt find device
using input_id :0:
<Event(32771-MidiIn {'status': 230, 'data1': 43, 'data2': 59, 'data3': 0, 'timestamp': 5621, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 41, 'data2': 59, 'data3': 0, 'timestamp': 5622, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 214, 'data1': 76, 'data2': 0, 'data3': 0, 'timestamp': 5623, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 182, 'data1': 74, 'data2': 44, 'data3': 0, 'timestamp': 5623, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 38, 'data2': 59, 'data3': 0, 'timestamp': 5623, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 35, 'data2': 59, 'data3': 0, 'timestamp': 5624, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 34, 'data2': 59, 'data3': 0, 'timestamp': 5625, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 214, 'data1': 75, 'data2': 0, 'data3': 0, 'timestamp': 5626, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 30, 'data2': 59, 'data3': 0, 'timestamp': 5626, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 182, 'data1': 74, 'data2': 45, 'data3': 0, 'timestamp': 5627, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 26, 'data2': 59, 'data3': 0, 'timestamp': 5627, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 23, 'data2': 59, 'data3': 0, 'timestamp': 5628, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 214, 'data1': 74, 'data2': 0, 'data3': 0, 'timestamp': 5629, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 22, 'data2': 59, 'data3': 0, 'timestamp': 5629, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 214, 'data1': 73, 'data2': 0, 'data3': 0, 'timestamp': 5631, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 125, 'data2': 58, 'data3': 0, 'timestamp': 5632, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 214, 'data1': 72, 'data2': 0, 'data3': 0, 'timestamp': 5633, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 182, 'data1': 74, 'data2': 45, 'data3': 0, 'timestamp': 5633, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 214, 'data1': 72, 'data2': 0, 'data3': 0, 'timestamp': 5634, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 123, 'data2': 58, 'data3': 0, 'timestamp': 5635, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 214, 'data1': 71, 'data2': 0, 'data3': 0, 'timestamp': 5636, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 122, 'data2': 58, 'data3': 0, 'timestamp': 5637, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 214, 'data1': 70, 'data2': 0, 'data3': 0, 'timestamp': 5638, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 121, 'data2': 58, 'data3': 0, 'timestamp': 5639, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 214, 'data1': 69, 'data2': 0, 'data3': 0, 'timestamp': 5640, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 119, 'data2': 58, 'data3': 0, 'timestamp': 5640, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 118, 'data2': 58, 'data3': 0, 'timestamp': 5641, 'vice_id': 0})>
<Event(32771-MidiIn {'status': 230, 'data1': 114, 'data2': 58, 'data3': 0, 'timestamp': 5642, 'vice_id': 0})>
